ID_ATRATIVO_TURISTICO;DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;LINK_SITE_REDE_SOCIAL;REF_LOCALIZACAO;GEOMETRIA
34;Museu Mineiro;CULTURAL;AVENIDA;JOAO PINHEIRO;342;;Lourdes;"<a target=""_blank"" href=""http://www.museumineiro.mg.gov.br/"">http://www.museumineiro.mg.gov.br/</a>";;POINT (611227.25 7796140.5)
35;Arquivo Público Mineiro;CULTURAL;AVENIDA;JOAO PINHEIRO;372;;Lourdes;"<a target=""_blank"" href=""http://www.siaapm.cultura.mg.gov.br/"">http://www.siaapm.cultura.mg.gov.br/</a>";;POINT (611216.6 7796102.5)
36;Basílica Nossa Senhora de Lourdes;CULTURAL;RUA;DA BAHIA;1596;;Lourdes;"<a target=""_blank"" href=""http://www.basilicadelourdes.com.br"">http://www.basilicadelourdes.com.br</a>";;POINT (611068.2 7796068.5)
37;Centro de Arte Popular - Cemig;CULTURAL;RUA;GONCALVES DIAS;1608;;Lourdes;"<a target=""_blank"" href=""http://www.centrodeartepopular.mg.gov.br"">http://www.centrodeartepopular.mg.gov.br</a>";;POINT (610949 7795873.5)
38;Centro de Memória do Minas Tênis Clube;CULTURAL;RUA;DA BAHIA;2244;;Lourdes;"<a target=""_blank"" href=""http://centroculturalminastc.com.br/"">http://centroculturalminastc.com.br/</a>";;POINT (610901.2 7795406.5)
39;Rua do Amendoim;ENTRETENIMENTO E LAZER;RUA;PROFESSOR OCTAVIO COELHO DE MAGALHAES;910;;Mangabeiras;n/a;;POINT (613568.4 7793096.5)
40;Mirante da Mata - Parque das Mangabeiras;ENTRETENIMENTO E LAZER;AVENIDA;JOSE DE PATROCINIO PONTES;580;;Mangabeiras;"<a target=""_blank"" href=""https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/informacoes/parques/parque-das-mangabeiras"">https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/informacoes/parques/parque-das-mangabeiras</a>";;POINT (614308.56 7793124.5)
41;Museu da História da Inquisição;CULTURAL;RUA;CANDIDO NAVES;55;;Ouro Preto;"<a target=""_blank"" href=""http://www.museudainquisicao.org.br/"">http://www.museudainquisicao.org.br/</a>";;POINT (606470.8 7802602)
42;Aquário da Bacia do Rio São Francisco - Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;8000;;Bandeirantes;"<a target=""_blank"" href=""https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/jardim-zoologico/aquario-do-rio-sao-francisco"">https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/jardim-zoologico/aquario-do-rio-sao-francisco</a>";;POINT (604113.25 7804176)
43;Zoológico e Jardim Botânico - Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;8000;;Bandeirantes;"<a target=""_blank"" href=""https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/jardim-zoologico"">https://prefeitura.pbh.gov.br/fundacao-de-parques-e-zoobotanica/jardim-zoologico</a>";;POINT (604167 7804155)
44;Jardim Japonês - Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;8000;;Bandeirantes;"<a target=""_blank"" href=""https://prefeitura.pbh.gov.br/noticias/jardim-japones-um-recanto-de-beleza-oriental-em-belo-horizonte"">https://prefeitura.pbh.gov.br/noticias/jardim-japones-um-recanto-de-beleza-oriental-em-belo-horizonte</a>";;POINT (604129.4 7804159.5)
