ID_ATRATIVO_TURISTICO;DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;NUMERO;COMPLEMENTO;NOME_BAIRRO_POPULAR;LINK_SITE_REDE_SOCIAL;REF_LOCALIZACAO;GEOMETRIA
80;Biblioteca do Centro Cultural Bairro das Indústrias;CULTURAL;RUA;DOS INDUSTRIARIOS;265;     ;Bairro das Indústrias I;;     ;POINT (604588.602890433 7792374.90232246)
81;Centro Cultural Jardim Guanabara;CULTURAL;RUA;JOAO ALVARES CABRAL;277;     ;Jardim Guanabara;;     ;POINT (611730.559114849 7807105.53178259)
82;Biblioteca do Centro Cultural Jardim Guanabara;CULTURAL;RUA;JOAO ALVARES CABRAL;277;     ;Jardim Guanabara;;     ;POINT (611730.559114849 7807105.53178259)
83;Centro Cultural Liberalino Alves de Oliveira;CULTURAL;AVENIDA;PRESIDENTE ANTONIO CARLOS;821;     ;Lagoinha;;     ;POINT (610402.792940157 7798716.28490065)
84;Biblioteca do Centro Cultural Liberalino Alves de Oliveira;CULTURAL;AVENIDA;PRESIDENTE ANTONIO CARLOS;821;     ;Lagoinha;;     ;POINT (610402.792940157 7798716.28490065)
85;Centro Cultural Lindeia Regina;CULTURAL;RUA;ARISTOLINO BASILIO DE OLIVEIRA;445;     ;Lindéia;;     ;POINT (598879.817015127 7790142.76550603)
86;Biblioteca do Centro Cultural Lindeia Regina;CULTURAL;RUA;ARISTOLINO BASILIO DE OLIVEIRA;445;     ;Lindéia;;     ;POINT (598879.817015127 7790142.76550603)
87;Centro Cultural Padre Eustáquio;CULTURAL;RUA;JACUTINGA;550;     ;Padre Eustáquio;;     ;POINT (605851.474443464 7797621.24779228)
88;Biblioteca do Centro Cultural Padre Eustáquio;CULTURAL;RUA;JACUTINGA;550;     ;Padre Eustáquio;;     ;POINT (605851.474443464 7797621.24779228)
89;Centro Cultural Pampulha;CULTURAL;RUA;EXPEDICIONARIO PAULO DE SOUZA;185;     ;Urca;;     ;POINT (603167.781958897 7802455.67375889)
90;Biblioteca do Centro Cultural Pampulha;CULTURAL;RUA;EXPEDICIONARIO PAULO DE SOUZA;185;     ;Urca;;     ;POINT (603167.781958897 7802455.67375889)
91;Centro Cultural Salgado Filho;CULTURAL;RUA;NOVA PONTE;22;     ;Salgado Filho;;     ;POINT (606172.028226373 7794286.2632665)
92;Biblioteca do Centro Cultural Salgado Filho;CULTURAL;RUA;NOVA PONTE;22;     ;Salgado Filho;;     ;POINT (606172.028226373 7794286.2632665)
93;Centro Cultural São Bernardo;CULTURAL;RUA;EDNA QUENTEL;320;     ;São Bernardo;;     ;POINT (610429.022970863 7805176.22999756)
94;Biblioteca do Centro Cultural São Bernardo;CULTURAL;RUA;EDNA QUENTEL;320;     ;São Bernardo;;     ;POINT (610429.022970863 7805176.22999756)
95;Centro Cultural São Geraldo;CULTURAL;RUA;SILVA ALVARENGA;548;     ;São Geraldo;;     ;POINT (615361.725906973 7799308.10661231)
96;Biblioteca do Centro Cultural São Geraldo;CULTURAL;RUA;SILVA ALVARENGA;548;     ;São Geraldo;;     ;POINT (615361.725906973 7799308.10661231)
97;Centro Cultural Urucuia;CULTURAL;RUA;W TRES;500;     ;Pongelupe;;     ;POINT (603621.705749365 7787257.046852)
98;Biblioteca do Centro Cultural Urucuia;CULTURAL;RUA;W TRES;500;     ;Pongelupe;;     ;POINT (603621.705749365 7787257.046852)
99;Centro Cultural Venda Nova;CULTURAL;RUA;JOSE FERREIRA DOS SANTOS;184;     ;Jardim dos Comerciários;;     ;POINT (607588.263644147 7810333.5702359)
100;Biblioteca do Centro Cultural Venda Nova;CULTURAL;RUA;JOSE FERREIRA DOS SANTOS;184;     ;Jardim dos Comerciários;;     ;POINT (607588.263644147 7810333.5702359)
101;Centro Cultural Vila Fátima;CULTURAL;RUA;SAO MIGUEL ARCANJO;215;     ;Nossa Senhora de Fátima;;     ;POINT (614797.162325809 7795694.35293344)
102;Biblioteca do Centro Cultural Vila Fátima;CULTURAL;RUA;SAO MIGUEL ARCANJO;215;     ;Nossa Senhora de Fátima;;     ;POINT (614797.162325809 7795694.35293344)
103;Centro Cultural Vila Marçola;CULTURAL;RUA;MANGABEIRA DA SERRA;320;     ;Marçola;;     ;POINT (614135.83357892 7794324.46454526)
104;Biblioteca do Centro Cultural Vila Marçola;CULTURAL;RUA;MANGABEIRA DA SERRA;320;     ;Marçola;;     ;POINT (614135.83357892 7794324.46454526)
1;Mineiraria Casa da Gastronomia;GASTRONOMIA E COMPRAS;RUA;UBERABA;865;     ;Barro Preto;;     ;POINT (609154.023931854 7796283.61028665)
2;Sala Minas Gerais;CULTURAL;RUA;TENENTE BRITO MELO;1090;     ;Barro Preto;;     ;POINT (609230.212001596 7796226.02918923)
3;Cemitério do Bonfim;CULTURAL;RUA;BONFIM;1120;     ;Bonfim;;     ;POINT (609758.6358296 7798238.18221707)
4;Museu de Ciências Morfológicas da UFMG;CULTURAL;AVENIDA;PRESIDENTE ANTONIO CARLOS;6627;     ;Campus UFMG;;     ;POINT (609242.981956552 7802765.07078202)
5;Estação Ecológica da UFMG;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;PRESIDENTE ANTONIO CARLOS;6627;     ;Campus UFMG;;     ;POINT (609242.981956552 7802765.07078202)
6;Aquário No Mundo das Águas;REALIZAÇÕES TEC. CIENTÍFICAS;RUA;MONTES CLAROS;322;     ;Carmo;;     ;POINT (611715.077830639 7794344.22482081)
7;Feira do Mineirinho;GASTRONOMIA E COMPRAS;AVENIDA;ANTONIO ABRAHAO CARAM;1000;     ;São Luíz;;     ;POINT (607515.680520347 7803348.93405875)
8;Museu Brasileiro do Futebol (MBF);CULTURAL;AVENIDA;ANTONIO ABRAHAO CARAM;1001;     ;São Luíz;;     ;POINT (607698.881645377 7803136.84510844)
9;Mineirão  Estádio Governador Magalhães Pinto;ENTRETENIMENTO E LAZER;AVENIDA;ANTONIO ABRAHAO CARAM;1001;     ;São Luíz;;     ;POINT (607699.038316419 7803144.12362692)
10;Parque Guanabara;ENTRETENIMENTO E LAZER;AVENIDA;OTACILIO NEGRAO DE LIMA;3333;     ;       ;;     ;POINT (606954.347872205 7803725.28533314)
11;Mercado Central;GASTRONOMIA E COMPRAS;AVENIDA;AUGUSTO DE LIMA;744;     ;Centro;;     ;POINT (610609.136947819 7796691.8269732)
12;Mercado Novo;GASTRONOMIA E COMPRAS;AVENIDA;OLEGARIO MACIEL;742;     ;Centro;;     ;POINT (610445.255613356 7796980.39862927)
13;CâmaraSete Casa da Fotografia de Minas Gerais;CULTURAL;AVENIDA;AFONSO PENA;737;     ;Centro;;     ;POINT (611152.884988085 7797059.11251829)
14;Sesc Palladium;CULTURAL;AVENIDA;AUGUSTO DE LIMA;420;     ;Centro;;     ;POINT (610894.91032671 7796617.27917602)
15;Museu Inimá de Paula;CULTURAL;RUA;DA BAHIA;1201;     ;Centro;;     ;POINT (611206.193795758 7796432.08984194)
16;Capela Nossa Senhora do Rosário;CULTURAL;RUA;SAO PAULO;759;     ;Centro;;     ;POINT (610922.767635617 7796998.08463534)
17;Centro Cultural UFMG;CULTURAL;AVENIDA;SANTOS DUMONT;174;     ;Centro;;     ;POINT (611423.78513504 7797434.53579697)
18;Complexo Casa do Conde (FUNARTE E IPHAN);CULTURAL;RUA;JANUARIA;68;     ;       ;;     ;POINT (611543.65497357 7797684.74486764)
19;Conservatório UFMG;CULTURAL;AVENIDA;AFONSO PENA;1534;     ;       ;;     ;POINT (611499.754098539 7796343.24792545)
20;Edifício Acaiaca;CULTURAL;AVENIDA;AFONSO PENA;867;     ;Centro;;     ;POINT (611207.356459803 7796959.56247641)
21;Igreja São José;CULTURAL;RUA;DOS TUPIS;164;     ;Centro;;     ;POINT (611089.424394682 7796842.8362357)
22;Museu de Artes e Ofícios;CULTURAL;PRACA;RUI BARBOSA;600;     ;Centro;;     ;POINT (611648.030870669 7797398.78307433)
23;Cine Theatro Brasil Vallourec;ENTRETENIMENTO E LAZER;RUA;DOS CARIJOS;258;     ;Centro;;     ;POINT (611169.186446557 7797110.82168804)
24;Palácio das Artes  Fundação Clóvis Salgado;ENTRETENIMENTO E LAZER;AVENIDA;AFONSO PENA;1537;     ;Centro;;     ;POINT (611566.586666557 7796363.53379632)
25;Feira dos Produtores;GASTRONOMIA E COMPRAS;AVENIDA;CRISTIANO MACHADO;1950;     ;Cidade Nova;;     ;POINT (612164.31668672 7800283.69243162)
26;Museu Giramundo;CULTURAL;RUA;VARGINHA;245;     ;Colégio Batista;;     ;POINT (611286.706219464 7797934.56401767)
27;Museu de Ciências Naturais  PUC Minas;CULTURAL;AVENIDA;DOM JOSE GASPAR;290;     ;Coração Eucarístico;;     ;POINT (605685.444368564 7796792.29652291)
28;Mercado Distrital do Cruzeiro;GASTRONOMIA E COMPRAS;RUA;OURO FINO;452;     ;Cruzeiro;;     ;POINT (612388.82103053 7794586.52550121)
29;Museu da Força Expedicionária Brasileira (FEB);CULTURAL;AVENIDA;FRANCISCO SALES;199;     ;Floresta;;     ;POINT (611892.91595457 7797357.87140178)
30;Museu dos Militares Mineiros;CULTURAL;RUA;DOS AIMORES;698;     ;Funcionários;;     ;POINT (611896.577109438 7795907.13669463)
31;Academia Mineira de Letras;CULTURAL;RUA;DA BAHIA;1466;     ;Lourdes;;     ;POINT (611094.281196973 7796167.93361017)
32;Espaço Cultural Escola de Design – UEMG;CULTURAL;RUA;GONCALVES DIAS;1400;     ;Lourdes;;     ;POINT (611120.48423996 7795830.50078531)
33;BDMG Cultural;CULTURAL;RUA;DA BAHIA;1600;     ;Lourdes;;     ;POINT (611055.519853663 7795999.27308177)
34;Museu Mineiro;CULTURAL;AVENIDA;JOAO PINHEIRO;342;     ;Lourdes;;     ;POINT (611227.25368209 7796140.47919844)
35;Arquivo Público Mineiro;CULTURAL;AVENIDA;JOAO PINHEIRO;372;     ;Lourdes;;     ;POINT (611216.624788792 7796102.4169459)
36;Basílica Nossa Senhora de Lourdes;CULTURAL;RUA;DA BAHIA;1596;     ;Lourdes;;     ;POINT (611068.19134562 7796068.5938305)
37;Centro de Arte Popular  Cemig;CULTURAL;RUA;GONCALVES DIAS;1608;     ;Lourdes;;     ;POINT (610949.014158011 7795873.34357312)
38;Centro de Memória do Minas Tênis Clube;CULTURAL;RUA;DA BAHIA;2244;     ;Lourdes;;     ;POINT (610901.163523561 7795406.47860213)
39;Rua do Amendoim;ENTRETENIMENTO E LAZER;RUA;PROFESSOR OCTAVIO COELHO DE MAGALHAES;910;     ;Mangabeiras;;     ;POINT (613568.397302913 7793096.56877758)
40;Mirante da Mata  Parque das Mangabeiras;ENTRETENIMENTO E LAZER;AVENIDA;JOSE DE PATROCINIO PONTES;580;     ;Mangabeiras;;     ;POINT (614308.536041075 7793124.36312012)
41;Museu da História da Inquisição;CULTURAL;RUA;CANDIDO NAVES;55;     ;Ouro Preto;;     ;POINT (606470.81156269 7802602.02396973)
42;Aquário da Bacia do Rio São Francisco  Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;8000;     ;Bandeirantes;;     ;POINT (604113.266957562 7804176.06357853)
43;Zoológico e Jardim Botânico  Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;8000;     ;Bandeirantes;;     ;POINT (604167.013370683 7804154.9678725)
44;Jardim Japonês  Fundação de Parques Municipais e Zoobotânica;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;OTACILIO NEGRAO DE LIMA;8000;     ;Bandeirantes;;     ;POINT (604129.38758316 7804159.66691602)
45;Feira Tom Jobim;GASTRONOMIA E COMPRAS;AVENIDA;CARANDAI;600;     ;Santa Efigênia;;     ;POINT (612205.895220668 7796119.23352293)
