DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOCALIZACAO
Biblioteca do Centro Cultural Bairro das Indústrias;CULTURAL;RUA;DOS INDUSTRIARIOS;     ;Bairro das Indústrias I;     
Centro Cultural Jardim Guanabara;CULTURAL;RUA;JOAO ALVARES CABRAL;     ;Jardim Guanabara;     
Biblioteca do Centro Cultural Jardim Guanabara;CULTURAL;RUA;JOAO ALVARES CABRAL;     ;Jardim Guanabara;     
Centro Cultural Liberalino Alves de Oliveira;CULTURAL;AVENIDA;PRESIDENTE ANTONIO CARLOS;     ;Lagoinha;     
Biblioteca do Centro Cultural Liberalino Alves de Oliveira;CULTURAL;AVENIDA;PRESIDENTE ANTONIO CARLOS;     ;Lagoinha;     
Centro Cultural Lindeia Regina;CULTURAL;RUA;ARISTOLINO BASILIO DE OLIVEIRA;     ;Lindéia;     
Biblioteca do Centro Cultural Lindeia Regina;CULTURAL;RUA;ARISTOLINO BASILIO DE OLIVEIRA;     ;Lindéia;     
Centro Cultural Padre Eustáquio;CULTURAL;RUA;JACUTINGA;     ;Padre Eustáquio;     
Biblioteca do Centro Cultural Padre Eustáquio;CULTURAL;RUA;JACUTINGA;     ;Padre Eustáquio;     
Centro Cultural Pampulha;CULTURAL;RUA;EXPEDICIONARIO PAULO DE SOUZA;     ;Urca;     
Biblioteca do Centro Cultural Pampulha;CULTURAL;RUA;EXPEDICIONARIO PAULO DE SOUZA;     ;Urca;     
Centro Cultural Salgado Filho;CULTURAL;RUA;NOVA PONTE;     ;Salgado Filho;     
Biblioteca do Centro Cultural Salgado Filho;CULTURAL;RUA;NOVA PONTE;     ;Salgado Filho;     
Centro Cultural São Bernardo;CULTURAL;RUA;EDNA QUENTEL;     ;São Bernardo;     
Biblioteca do Centro Cultural São Bernardo;CULTURAL;RUA;EDNA QUENTEL;     ;São Bernardo;     
Centro Cultural São Geraldo;CULTURAL;RUA;SILVA ALVARENGA;     ;São Geraldo;     
Biblioteca do Centro Cultural São Geraldo;CULTURAL;RUA;SILVA ALVARENGA;     ;São Geraldo;     
Centro Cultural Urucuia;CULTURAL;RUA;W TRES;     ;Pongelupe;     
Biblioteca do Centro Cultural Urucuia;CULTURAL;RUA;W TRES;     ;Pongelupe;     
Centro Cultural Venda Nova;CULTURAL;RUA;JOSE FERREIRA DOS SANTOS;     ;Jardim dos Comerciários;     
Biblioteca do Centro Cultural Venda Nova;CULTURAL;RUA;JOSE FERREIRA DOS SANTOS;     ;Jardim dos Comerciários;     
Centro Cultural Vila Fátima;CULTURAL;RUA;SAO MIGUEL ARCANJO;     ;Nossa Senhora de Fátima;     
Biblioteca do Centro Cultural Vila Fátima;CULTURAL;RUA;SAO MIGUEL ARCANJO;     ;Nossa Senhora de Fátima;     
Centro Cultural Vila Marçola;CULTURAL;RUA;MANGABEIRA DA SERRA;     ;Marçola;     
Biblioteca do Centro Cultural Vila Marçola;CULTURAL;RUA;MANGABEIRA DA SERRA;     ;Marçola;     
Mineiraria Casa da Gastronomia;GASTRONOMIA E COMPRAS;RUA;UBERABA;     ;Barro Preto;     
Sala Minas Gerais;CULTURAL;RUA;TENENTE BRITO MELO;     ;Barro Preto;     
Cemitério do Bonfim;CULTURAL;RUA;BONFIM;     ;Bonfim;     
Museu de Ciências Morfológicas da UFMG;CULTURAL;AVENIDA;PRESIDENTE ANTONIO CARLOS;     ;Campus UFMG;     
Estação Ecológica da UFMG;REALIZAÇÕES TEC. CIENTÍFICAS;AVENIDA;PRESIDENTE ANTONIO CARLOS;     ;Campus UFMG;     
Aquário No Mundo das Águas;REALIZAÇÕES TEC. CIENTÍFICAS;RUA;MONTES CLAROS;     ;Carmo;     
Feira do Mineirinho;GASTRONOMIA E COMPRAS;AVENIDA;ANTONIO ABRAHAO CARAM;     ;São Luíz;     
Museu Brasileiro do Futebol (MBF);CULTURAL;AVENIDA;ANTONIO ABRAHAO CARAM;     ;São Luíz;     
Mineirão  Estádio Governador Magalhães Pinto;ENTRETENIMENTO E LAZER;AVENIDA;ANTONIO ABRAHAO CARAM;     ;São Luíz;     
Parque Guanabara;ENTRETENIMENTO E LAZER;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;       ;     
Mercado Central;GASTRONOMIA E COMPRAS;AVENIDA;AUGUSTO DE LIMA;     ;Centro;     
Mercado Novo;GASTRONOMIA E COMPRAS;AVENIDA;OLEGARIO MACIEL;     ;Centro;     
CâmaraSete Casa da Fotografia de Minas Gerais;CULTURAL;AVENIDA;AFONSO PENA;     ;Centro;     
Sesc Palladium;CULTURAL;AVENIDA;AUGUSTO DE LIMA;     ;Centro;     
Museu Inimá de Paula;CULTURAL;RUA;DA BAHIA;     ;Centro;     
Capela Nossa Senhora do Rosário;CULTURAL;RUA;SAO PAULO;     ;Centro;     
Centro Cultural UFMG;CULTURAL;AVENIDA;SANTOS DUMONT;     ;Centro;     
Complexo Casa do Conde (FUNARTE E IPHAN);CULTURAL;RUA;JANUARIA;     ;       ;     
Conservatório UFMG;CULTURAL;AVENIDA;AFONSO PENA;     ;       ;     
Edifício Acaiaca;CULTURAL;AVENIDA;AFONSO PENA;     ;Centro;     
Igreja São José;CULTURAL;RUA;DOS TUPIS;     ;Centro;     
Museu de Artes e Ofícios;CULTURAL;PRACA;RUI BARBOSA;     ;Centro;     
Cine Theatro Brasil Vallourec;ENTRETENIMENTO E LAZER;RUA;DOS CARIJOS;     ;Centro;     
Palácio das Artes  Fundação Clóvis Salgado;ENTRETENIMENTO E LAZER;AVENIDA;AFONSO PENA;     ;Centro;     
Feira dos Produtores;GASTRONOMIA E COMPRAS;AVENIDA;CRISTIANO MACHADO;     ;Cidade Nova;     
Museu Giramundo;CULTURAL;RUA;VARGINHA;     ;Colégio Batista;     
Museu de Ciências Naturais  PUC Minas;CULTURAL;AVENIDA;DOM JOSE GASPAR;     ;Coração Eucarístico;     
Mercado Distrital do Cruzeiro;GASTRONOMIA E COMPRAS;RUA;OURO FINO;     ;Cruzeiro;     
Museu da Força Expedicionária Brasileira (FEB);CULTURAL;AVENIDA;FRANCISCO SALES;     ;Floresta;     
Museu dos Militares Mineiros;CULTURAL;RUA;DOS AIMORES;     ;Funcionários;     
Academia Mineira de Letras;CULTURAL;RUA;DA BAHIA;     ;Lourdes;     
Espaço Cultural Escola de Design – UEMG;CULTURAL;RUA;GONCALVES DIAS;     ;Lourdes;     
BDMG Cultural;CULTURAL;RUA;DA BAHIA;     ;Lourdes;     
Museu Mineiro;CULTURAL;AVENIDA;JOAO PINHEIRO;     ;Lourdes;     
Arquivo Público Mineiro;CULTURAL;AVENIDA;JOAO PINHEIRO;     ;Lourdes;     
Basílica Nossa Senhora de Lourdes;CULTURAL;RUA;DA BAHIA;     ;Lourdes;     
Centro de Arte Popular  Cemig;CULTURAL;RUA;GONCALVES DIAS;     ;Lourdes;     
Centro de Memória do Minas Tênis Clube;CULTURAL;RUA;DA BAHIA;     ;Lourdes;     
Rua do Amendoim;ENTRETENIMENTO E LAZER;RUA;PROFESSOR OCTAVIO COELHO DE MAGALHAES;     ;Mangabeiras;     
