DESCRICAO_LIMPA,LOGRADOURO_LIMPO,NOME_BAIRRO_POPULAR_LIMPO,CATEGORIA_LIMPA,CATEGORIA_CODIFICADA,TIPO_LOGRADOURO_LIMPO,TIPO_LOGRADOURO_CODIFICADO
biblioteca centro cultural bairro indústria,industriario,bairro indústria i,cultural,0,rua,5
centro cultural jardim guanabara,joao alvare cabral,jardim guanabara,cultural,0,rua,5
biblioteca centro cultural jardim guanabara,joao alvare cabral,jardim guanabara,cultural,0,rua,5
centro cultural liberalino alve oliveira,presidente antonio carlo,lagoinha,cultural,0,avenida,2
biblioteca centro cultural liberalino alve oliveira,presidente antonio carlo,lagoinha,cultural,0,avenida,2
centro cultural lindeia regina,aristolino basilio oliveira,lindéia,cultural,0,rua,5
biblioteca centro cultural lindeia regina,aristolino basilio oliveira,lindéia,cultural,0,rua,5
centro cultural padre eustáquio,jacutinga,padre eustáquio,cultural,0,rua,5
biblioteca centro cultural padre eustáquio,jacutinga,padre eustáquio,cultural,0,rua,5
centro cultural pampulha,expedicionario paulo souza,urca,cultural,0,rua,5
biblioteca centro cultural pampulha,expedicionario paulo souza,urca,cultural,0,rua,5
centro cultural salgado filho,nova ponte,salgado filho,cultural,0,rua,5
biblioteca centro cultural salgado filho,nova ponte,salgado filho,cultural,0,rua,5
centro cultural bernardo,edna quentel,bernardo,cultural,0,rua,5
biblioteca centro cultural bernardo,edna quentel,bernardo,cultural,0,rua,5
centro cultural geraldo,silva alvarenga,geraldo,cultural,0,rua,5
biblioteca centro cultural geraldo,silva alvarenga,geraldo,cultural,0,rua,5
centro cultural urucuia,w tre,pongelupe,cultural,0,rua,5
biblioteca centro cultural urucuia,w tre,pongelupe,cultural,0,rua,5
centro cultural venda nova,jose ferreira santo,jardim comerciário,cultural,0,rua,5
biblioteca centro cultural venda nova,jose ferreira santo,jardim comerciário,cultural,0,rua,5
centro cultural vila fátima,sao miguel arcanjo,senhora fátima,cultural,0,rua,5
biblioteca centro cultural vila fátima,sao miguel arcanjo,senhora fátima,cultural,0,rua,5
centro cultural vila marçola,mangabeira serra,marçola,cultural,0,rua,5
biblioteca centro cultural vila marçola,mangabeira serra,marçola,cultural,0,rua,5
mineiraria casa gastronomia,uberaba,barro preto,gastronomia compra,2,rua,5
sala mina geral,tenente brito melo,barro preto,cultural,0,rua,5
cemitério bonfim,bonfim,bonfim,cultural,0,rua,5
museu ciência morfológica ufmg,presidente antonio carlo,campu ufmg,cultural,0,avenida,2
estação ecológica ufmg,presidente antonio carlo,campu ufmg,realização tec científica,4,avenida,2
aquário mundo água,monte claro,carmo,realização tec científica,4,rua,5
feira mineirinho,antonio abrahao caram,luíz,gastronomia compra,2,avenida,2
museu brasileiro futebol mbf,antonio abrahao caram,luíz,cultural,0,avenida,2
mineirão estádio governador magalhão pinto,antonio abrahao caram,luíz,entretenimento lazer,1,avenida,2
parque guanabara,otacilio negrao lima,,entretenimento lazer,1,avenida,2
mercado central,augusto lima,centro,gastronomia compra,2,avenida,2
mercado novo,olegario maciel,centro,gastronomia compra,2,avenida,2
câmarasete casa fotografia mina geral,afonso pena,centro,cultural,0,avenida,2
sesc palladium,augusto lima,centro,cultural,0,avenida,2
museu inimá paula,bahia,centro,cultural,0,rua,5
capela senhora rosário,sao paulo,centro,cultural,0,rua,5
centro cultural ufmg,santo dumont,centro,cultural,0,avenida,2
complexo casa conde funarte iphan,januaria,,cultural,0,rua,5
conservatório ufmg,afonso pena,,cultural,0,avenida,2
edifício acaiaca,afonso pena,centro,cultural,0,avenida,2
igreja josé,tupi,centro,cultural,0,rua,5
